Date,Sales
2023-08-01,221
2023-08-02,218
2023-08-03,215
2023-08-04,207
2023-08-05,178
2023-08-06,182
2023-08-07,216
2023-08-08,224
2023-08-09,215
2023-08-10,215
2023-08-11,187
2023-08-12,176
2023-08-13,187
2023-08-14,182
2023-08-15,199
2023-08-16,215
2023-08-17,199
2023-08-18,195
2023-08-19,172
2023-08-20,171
2023-08-21,216
2023-08-22,215
2023-08-23,221
2023-08-24,196
2023-08-25,187
2023-08-26,183
2023-08-27,174
2023-08-28,205
2023-08-29,211
2023-08-30,218
2023-08-31,204
2023-09-01,247
2023-09-02,217
2023-09-03,211
2023-09-04,245
2023-09-05,240
2023-09-06,259
2023-09-07,226
2023-09-08,215
2023-09-09,220
2023-09-10,229
2023-09-11,204
2023-09-12,217
2023-09-13,219
2023-09-14,196
2023-09-15,187
2023-09-16,178
2023-09-17,197
2023-09-18,206
2023-09-19,201
2023-09-20,225
2023-09-21,208
2023-09-22,187
2023-09-23,189
2023-09-24,198
2023-09-25,212
2023-09-26,210
2023-09-27,220
2023-09-28,215
2023-09-29,204
2023-09-30,179
2023-10-01,186
2023-10-02,192
2023-10-03,207
2023-10-04,231
2023-10-05,226
2023-10-06,194
2023-10-07,194
2023-10-08,192
2023-10-09,197
2023-10-10,223
2023-10-11,239
2023-10-12,212
2023-10-13,211
2023-10-14,158
2023-10-15,197
2023-10-16,205
2023-10-17,217
2023-10-18,225
2023-10-19,193
2023-10-20,193
2023-10-21,188
2023-10-22,204
2023-10-23,199
2023-10-24,212
2023-10-25,219
2023-10-26,223
2023-10-27,199
2023-10-28,180
2023-10-29,194
2023-10-30,206
2023-10-31,230
